code,scale
512730,1.62
159899,1.61
159613,1.61
516790,1.6
588280,1.59
517090,1.59
159881,1.55
516310,1.55
159635,1.53
516730,1.53
515360,1.52
516380,1.51
518680,1.5
159933,1.49
159735,1.45
159732,1.45
515810,1.45
517110,1.45
515350,1.44
588150,1.43
159729,1.39
159716,1.37
516760,1.37
159804,1.35
512180,1.35
517180,1.34
561700,1.34
517350,1.34
516590,1.33
159760,1.32
512750,1.31
516550,1.3
513150,1.27
159827,1.26
512520,1.26
560100,1.25
159891,1.23
515300,1.22
560980,1.22
516580,1.21
516520,1.2
510030,1.2
159666,1.2
159888,1.19
159612,1.18
516260,1.18
159770,1.17
562300,1.16
159709,1.15
516600,1.15
518660,1.15
516770,1.14
561310,1.13
516710,1.12
561510,1.12
560560,1.11
562910,1.11
515990,1.11
159943,1.1
159662,1.1
159976,1.1
159907,1.08
159739,1.08
510020,1.07
513070,1.07
560660,1.06
516180,1.06
515770,1.04
159906,1.04
159889,1.03
515630,1.03
516500,1.03
561800,1.03
159965,1.03
510660,1.02
516910,1.02
515670,1.02
159643,1.02
159991,1.01
561590,1.0
513290,1.0
510060,0.99
512260,0.99
561180,0.98
518600,0.97
516060,0.96
516750,0.95
159808,0.95
159877,0.95
159849,0.94
159751,0.94
159763,0.94
159912,0.92
511180,0.92
159719,0.92
159750,0.92
515530,0.91
561500,0.9
561560,0.9
159848,0.9
517800,0.9
516630,0.89
516850,0.89
512360,0.89
159956,0.86
159776,0.85
159880,0.85
159975,0.85
159775,0.84
159720,0.84
516130,0.84
561000,0.83
159677,0.83
516530,0.82
561710,0.82
562360,0.8
562950,0.8
588160,0.8
159779,0.8
516960,0.78
159616,0.78
513280,0.78
159866,0.78
159858,0.78
516610,0.78
510090,0.77
516000,0.77
510190,0.77
512970,0.77
562390,0.77
513220,0.76
159896,0.76
159990,0.75
512640,0.74
159726,0.74
159855,0.73
513080,0.73
159617,0.73
516560,0.73
159890,0.72
159871,0.72
159725,0.72
515130,0.71
159721,0.71
513520,0.7
513160,0.7
159706,0.7
510200,0.69
159795,0.69
513000,0.69
513990,0.69
512280,0.69
159918,0.68
517360,0.68
513960,0.67
513590,0.67
159812,0.67
562900,0.67
159669,0.66
513800,0.66
159712,0.66
512190,0.65
159621,0.65
159773,0.65
512150,0.64
159836,0.64
513530,0.63
515190,0.63
159983,0.62
510990,0.62
513880,0.62
515090,0.61
516900,0.61
560990,0.61
159931,0.61
159718,0.61
561900,0.61
159717,0.61
159835,0.6
515280,0.6
159798,0.6
516320,0.6
159789,0.59
562320,0.59
515310,0.59
159935,0.59
159703,0.59
513320,0.58
159987,0.58
562530,0.58
159627,0.57
159830,0.57
159886,0.57
510650,0.56
516200,0.56
561600,0.56
159793,0.56
159872,0.55
159778,0.55
562520,0.55
516210,0.55
516690,0.54
516930,0.54
159663,0.54
159797,0.54
517390,0.54
517550,0.54
159945,0.54
513230,0.54
516650,0.54
159630,0.54
518890,0.54
516100,0.53
516330,0.53
159791,0.53
512530,0.53
588010,0.53
159620,0.53
159862,0.53
159723,0.53
159710,0.52
516720,0.51
588310,0.51
562010,0.51
518860,0.5
517880,0.5
159876,0.49
513310,0.49
516860,0.48
159683,0.48
513140,0.48
512870,0.47
517280,0.47
517010,0.47
159731,0.47
159730,0.47
159913,0.47
561330,0.46
510570,0.46
159738,0.45
560960,0.44
510370,0.44
515570,0.44
510600,0.44
517170,0.44
517900,0.42
159769,0.42
159728,0.41
159810,0.41
516890,0.41
159831,0.41
159834,0.41
515590,0.4
516620,0.4
517030,0.4
515930,0.39
560680,0.39
515550,0.37
159711,0.37
515780,0.37
516570,0.37
510770,0.35
516700,0.34
159788,0.34
159853,0.33
562350,0.33
517770,0.32
159701,0.32
159895,0.32
159823,0.32
517500,0.31
159944,0.31
159733,0.3
510680,0.3
159646,0.3
517660,0.29
159984,0.29
512320,0.29
159833,0.29
159787,0.29
560650,0.28
515520,0.27
159645,0.27
517760,0.26
159969,0.26
510550,0.25
159655,0.24
517990,0.24
516980,0.23
159821,0.23
517270,0.23
159923,0.22
510270,0.22
510110,0.21
560000,0.19
516480,0.18
588320,0.18
159970,0.18
516190,0.17
510120,0.15
159971,0.13
159777,0.13
159815,0.12
560600,0.11
