基金代码,基金简称,类型,2023-05-30-单位净值,2023-05-30-累计净值,2023-05-29-单位净值,2023-05-29-累计净值,增长值,增长率,市价,折价率
517770,浦银安盛中证沪港深游戏及文化传媒ETF行情,指数型-股票,1.0182,1.0182,0.9792,0.9792,0.0390,3.98%,1.0170,0.12%
517800,方正富邦沪港深人工智能50ETF行情,指数型-股票,0.7188,0.7188,0.7033,0.7033,0.0155,2.20%,0.7160,0.39%
517850,汇添富中证沪港深张江自主创新50ETF行情,指数型-股票,0.9319,0.9319,0.9255,0.9255,0.0064,0.69%,0.9310,0.10%
517880,华泰柏瑞中证品牌消费50ETF行情,指数型-股票,0.7879,0.7879,0.7884,0.7884,-0.0005,-0.06%,0.7870,0.11%
517900,招商中证银行AH价格优选ETF行情,指数型-股票,0.9604,0.9604,0.9636,0.9636,-0.0032,-0.33%,0.9590,0.15%
517960,摩根中证沪港深科技100ETF行情,指数型-股票,0.8852,0.8852,0.8743,0.8743,0.0109,1.25%,0.8830,0.25%
517990,招商中证沪港深500医药卫生ETF行情,指数型-股票,0.9551,0.9551,0.9582,0.9582,-0.0031,-0.32%,0.9540,0.12%
518600,广发上海金ETF行情,商品（不含QDII）,4.2911,1.0511,4.3005,1.0534,-0.0094,-0.22%,4.2850,0.14%
518660,工银瑞信黄金ETF行情,商品（不含QDII）,4.3148,1.1182,4.3226,1.1202,-0.0078,-0.18%,4.3100,0.11%
518680,富国上海金ETF行情,商品（不含QDII）,4.3013,1.0740,4.3105,1.0763,-0.0092,-0.21%,4.3010,0.01%
518800,国泰黄金ETF行情,商品（不含QDII）,4.2530,1.6088,4.2607,1.6117,-0.0077,-0.18%,4.2470,0.14%
518850,华夏黄金ETF行情,商品（不含QDII）,4.3316,1.1151,4.3393,1.1170,-0.0077,-0.18%,4.3300,0.04%
518860,建信上海金ETF行情,商品（不含QDII）,4.3355,1.0302,4.3441,1.0323,-0.0086,-0.20%,4.3330,0.06%
518880,华安黄金易ETF行情,商品（不含QDII）,4.3048,1.6256,4.3125,1.6285,-0.0077,-0.18%,4.3000,0.11%
518890,中银上海金ETF行情,商品（不含QDII）,4.3487,1.0464,4.3580,1.0487,-0.0093,-0.21%,4.3440,0.11%
560000,浦银安盛中证智能电动汽车ETF行情,指数型-股票,0.6957,0.6957,0.6859,0.6859,0.0098,1.43%,---,---
560010,广发中证1000ETF行情,指数型-股票,2.6210,0.9251,2.6081,0.9205,0.0129,0.49%,---,---
560050,汇添富MSCI中国A50互联互通ETF行情,指数型-股票,0.7534,0.7534,0.7545,0.7545,-0.0011,-0.15%,---,---
560060,汇添富中证上海环交所碳中和ETF行情,指数型-股票,0.7770,0.7770,0.7751,0.7751,0.0019,0.25%,---,---
560070,汇添富中证国新央企股东回报ETF行情,指数型-股票,---,---,---,---,---,---,---,---
560080,汇添富中证中药ETF行情,指数型-股票,1.3714,1.3714,1.3764,1.3764,-0.0050,-0.36%,---,---
560090,汇添富中证全指证券公司ETF行情,指数型-股票,0.9755,0.9755,0.9737,0.9737,0.0018,0.18%,---,---
560100,南方中证500增强策略ETF行情,指数型-股票,0.9433,0.9433,0.9375,0.9375,0.0058,0.62%,---,---
560110,汇添富中证1000ETF行情,指数型-股票,0.9388,0.9388,0.9341,0.9341,0.0047,0.50%,---,---
560180,南方沪深300ESG基准ETF行情,指数型-股票,0.9324,0.9324,0.9307,0.9307,0.0017,0.18%,---,---
560330,申万菱信沪深300价值ETF行情,指数型-股票,0.9642,0.9642,0.9625,0.9625,0.0017,0.18%,---,---
560500,鹏扬中证500质量成长ETF行情,指数型-股票,0.8621,0.8621,0.8570,0.8570,0.0051,0.60%,---,---
560550,广发中证上海环交所碳中和ETF行情,指数型-股票,0.7739,0.7739,0.7720,0.7720,0.0019,0.25%,---,---
560560,泰康中证内地低碳经济ETF行情,指数型-股票,0.6912,0.6912,0.6911,0.6911,0.0001,0.01%,---,---
560580,南方中证全指电力公用事业ETF行情,指数型-股票,1.0328,1.0328,1.0368,1.0368,-0.0040,-0.39%,---,---
560600,方正富邦中证医药及医疗器械创新ETF行情,指数型-股票,0.7142,0.7142,0.7205,0.7205,-0.0063,-0.87%,---,---
560650,民生加银中证企业核心竞争力50ETF行情,指数型-股票,0.9486,0.9486,0.9492,0.9492,-0.0006,-0.06%,---,---
560660,新华中证云计算50ETF行情,指数型-股票,1.0405,1.0405,0.9995,0.9995,0.0410,4.10%,---,---
560680,广发中证主要消费ETF行情,指数型-股票,1.0172,1.0172,1.0272,1.0272,-0.0100,-0.97%,---,---
560700,广发中证国新央企股东回报ETF行情,指数型-股票,---,---,---,---,---,---,---,---
560800,鹏扬中证数字经济主题ETF行情,指数型-股票,0.7119,0.7119,0.7027,0.7027,0.0092,1.31%,---,---
560860,万家中证工业有色金属主题ETF行情,指数型-股票,0.8796,0.8796,0.8809,0.8809,-0.0013,-0.15%,---,---
560880,广发中证全指家用电器ETF行情,指数型-股票,1.0821,1.0821,1.0900,1.0900,-0.0079,-0.72%,---,---
560900,摩根中证创新药产业ETF行情,指数型-股票,0.9517,0.9517,0.9626,0.9626,-0.0109,-1.13%,---,---
560960,摩根中证碳中和60ETF行情,指数型-股票,0.8931,0.8931,0.8914,0.8914,0.0017,0.19%,---,---
560980,广发中证光伏龙头30ETF行情,指数型-股票,0.8186,0.8186,0.8270,0.8270,-0.0084,-1.02%,---,---
560990,中金中证科技先锋ETF行情,指数型-股票,0.8818,0.8818,0.8753,0.8753,0.0065,0.74%,---,---
561000,华安沪深300增强策略ETF行情,指数型-股票,0.9779,0.9779,0.9783,0.9783,-0.0004,-0.04%,---,---
561100,富国中证消费电子主题ETF行情,指数型-股票,0.7364,0.7364,0.7287,0.7287,0.0077,1.06%,---,---
561120,富国中证全指家用电器ETF行情,指数型-股票,0.9228,0.9228,0.9295,0.9295,-0.0067,-0.72%,---,---
561130,富国中证新华社民族品牌工程ETF行情,指数型-股票,0.7758,0.7758,0.7750,0.7750,0.0008,0.10%,---,---
561160,富国中证电池主题ETF行情,指数型-股票,0.6368,0.6368,0.6315,0.6315,0.0053,0.84%,---,---
561170,富国中证绿色电力ETF行情,指数型-股票,1.0810,1.0810,1.0866,1.0866,-0.0056,-0.52%,---,---
561180,富国中证100ETF行情,指数型-股票,1.0009,1.0009,0.9984,0.9984,0.0025,0.25%,---,---
561190,富国中证上海环交所碳中和ETF行情,指数型-股票,0.7801,0.7801,0.7781,0.7781,0.0020,0.26%,---,---
