date,increase_cnt,decrease_cnt,increase_rate
1991-08-09,6,4,1.5
1991-08-12,6,3,2.0
1991-08-13,7,2,3.5
1991-08-14,7,4,1.75
1991-08-15,6,4,1.5
1991-08-16,7,4,1.75
1991-08-17,0,4,0.0
1991-08-19,12,1,12.0
1991-08-20,6,6,1.0
1991-08-21,8,5,1.6
1991-08-22,7,5,1.4
1991-08-23,7,4,1.75
1991-08-24,2,3,0.6666666666666666
1991-08-26,6,5,1.2
1991-08-27,7,6,1.1666666666666667
1991-08-28,7,5,1.4
1991-08-29,6,5,1.2
1991-08-30,6,5,1.2
1991-08-31,0,4,0.0
1991-09-02,8,5,1.6
1991-09-03,6,6,1.0
1991-09-04,7,5,1.4
1991-09-05,7,5,1.4
1991-09-06,7,6,1.1666666666666667
1991-09-07,2,2,1.0
1991-09-09,10,2,5.0
1991-09-10,9,4,2.25
1991-09-11,7,5,1.4
1991-09-12,8,4,2.0
1991-09-13,7,5,1.4
1991-09-14,1,3,0.3333333333333333
1991-09-16,7,4,1.75
1991-09-17,4,8,0.5
1991-09-18,3,8,0.375
1991-09-19,3,9,0.3333333333333333
1991-09-20,5,7,0.7142857142857143
1991-09-21,1,3,0.3333333333333333
1991-09-23,6,6,1.0
1991-09-24,4,8,0.5
1991-09-25,7,6,1.1666666666666667
1991-09-26,6,6,1.0
1991-09-27,6,5,1.2
1991-09-28,2,2,1.0
1991-09-29,2,2,1.0
1991-09-30,4,6,0.6666666666666666
1991-10-03,10,3,3.3333333333333335
1991-10-04,7,6,1.1666666666666667
1991-10-05,1,4,0.25
1991-10-07,11,2,5.5
1991-10-08,10,3,3.3333333333333335
1991-10-09,10,2,5.0
1991-10-10,9,4,2.25
1991-10-11,11,2,5.5
1991-10-12,5,0,inf
1991-10-14,10,3,3.3333333333333335
1991-10-15,8,5,1.6
1991-10-16,8,5,1.6
1991-10-17,12,1,12.0
1991-10-18,12,1,12.0
1991-10-19,1,4,0.25
1991-10-21,7,5,1.4
1991-10-22,6,6,1.0
1991-10-23,9,3,3.0
1991-10-24,11,2,5.5
1991-10-25,8,5,1.6
1991-10-26,2,3,0.6666666666666666
1991-10-28,13,0,inf
1991-10-29,12,1,12.0
1991-10-30,12,1,12.0
1991-10-31,13,0,inf
1991-11-01,12,1,12.0
1991-11-02,4,1,4.0
1991-11-04,13,0,inf
1991-11-05,9,4,2.25
1991-11-06,8,5,1.6
1991-11-07,11,1,11.0
1991-11-08,12,1,12.0
1991-11-09,5,0,inf
1991-11-11,7,0,inf
1991-11-12,12,1,12.0
1991-11-13,12,1,12.0
1991-11-14,10,2,5.0
1991-11-15,5,7,0.7142857142857143
1991-11-16,0,4,0.0
1991-11-17,1,0,inf
1991-11-18,7,5,1.4
1991-11-19,9,4,2.25
1991-11-20,8,4,2.0
1991-11-21,4,8,0.5
1991-11-22,11,2,5.5
1991-11-23,2,2,1.0
1991-11-25,7,5,1.4
1991-11-26,6,6,1.0
1991-11-27,11,0,inf
1991-11-28,5,7,0.7142857142857143
1991-11-29,7,6,1.1666666666666667
1991-11-30,1,4,0.25
1991-12-02,9,4,2.25
1991-12-03,13,0,inf
1991-12-04,9,4,2.25
1991-12-05,6,7,0.8571428571428571
1991-12-06,12,1,12.0
1991-12-07,4,1,4.0
1991-12-09,10,3,3.3333333333333335
1991-12-10,12,1,12.0
1991-12-11,4,9,0.4444444444444444
1991-12-12,4,9,0.4444444444444444
1991-12-13,5,8,0.625
1991-12-14,4,1,4.0
1991-12-16,7,6,1.1666666666666667
1991-12-17,3,10,0.3
1991-12-18,5,7,0.7142857142857143
1991-12-19,2,11,0.18181818181818182
1991-12-20,5,8,0.625
1991-12-21,2,3,0.6666666666666666
1991-12-23,12,1,12.0
1991-12-24,9,4,2.25
1991-12-25,5,8,0.625
1991-12-26,5,8,0.625
1991-12-27,11,2,5.5
1991-12-28,4,0,inf
1991-12-30,6,7,0.8571428571428571
1991-12-31,9,4,2.25
1992-01-02,7,5,1.4
1992-01-03,6,7,0.8571428571428571
1992-01-06,11,2,5.5
1992-01-07,11,2,5.5
1992-01-08,7,6,1.1666666666666667
1992-01-09,6,7,0.8571428571428571
1992-01-10,11,2,5.5
1992-01-13,7,7,1.0
1992-01-14,5,8,0.625
1992-01-15,5,7,0.7142857142857143
1992-01-16,1,9,0.1111111111111111
1992-01-17,5,8,0.625
1992-01-20,6,7,0.8571428571428571
1992-01-21,3,11,0.2727272727272727
1992-01-22,4,8,0.5
1992-01-23,7,6,1.1666666666666667
1992-01-24,8,4,2.0
1992-01-27,6,8,0.75
1992-01-28,8,5,1.6
1992-01-29,9,5,1.8
1992-01-30,8,4,2.0
1992-01-31,8,5,1.6
1992-02-01,1,2,0.5
1992-02-02,3,1,3.0
1992-02-03,3,8,0.375
1992-02-07,5,6,0.8333333333333334
1992-02-10,5,8,0.625
1992-02-11,7,7,1.0
1992-02-12,7,7,1.0
1992-02-13,6,7,0.8571428571428571
1992-02-14,4,9,0.4444444444444444
1992-02-17,1,12,0.08333333333333333
1992-02-18,7,6,1.1666666666666667
1992-02-19,10,4,2.5
1992-02-20,9,3,3.0
1992-02-21,4,7,0.5714285714285714
1992-02-24,2,10,0.2
1992-02-25,3,7,0.42857142857142855
1992-02-26,3,9,0.3333333333333333
1992-02-27,7,5,1.4
1992-02-28,11,2,5.5
1992-03-02,6,6,1.0
